stage,event_id,workstation,segment,verification_utc,pump_start_utc,recorded_margin_seconds,max_late_shift_seconds,headroom_seconds,predetermined_classification
S0,MA-20260815-1301,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:00:02Z,2026-08-15T17:00:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1302,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:00:17Z,2026-08-15T17:00:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1303,MED-WS-11,PRE,2026-08-15T17:00:32Z,2026-08-15T17:00:33Z,1.0,0.0,1.0,UNIQUE
S0,MA-20260815-1304,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:00:47Z,2026-08-15T17:00:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1305,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:01:02Z,2026-08-15T17:01:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1306,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:01:17Z,2026-08-15T17:01:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1307,MED-WS-11,PRE,2026-08-15T17:01:32Z,2026-08-15T17:01:33Z,1.0,0.0,1.0,UNIQUE
S0,MA-20260815-1308,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:01:47Z,2026-08-15T17:01:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1309,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:02:02Z,2026-08-15T17:02:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1310,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:02:17Z,2026-08-15T17:02:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1311,MED-WS-11,PRE,2026-08-15T17:02:32Z,2026-08-15T17:02:33Z,1.0,0.0,1.0,UNIQUE
S0,MA-20260815-1312,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:02:47Z,2026-08-15T17:02:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1313,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:03:02Z,2026-08-15T17:03:04Z,2.0,0.0,2.0,UNIQUE
